SecurityID | ExchangeID | TypeID | Ticker | Name
176        | 2          | 1      | EXPD   | Expeditors Int'l
177        | 2          | 1      | ESRX   | Express Scripts
178        | 1          | 1      | XOM    | Exxon Mobil Corp.
179        | 2          | 1      | FFIV   | F5 Networks
180        | 1          | 1      | FDO    | Family Dollar Stores
181        | 2          | 1      | FAST   | Fastenal Co
182        | 1          | 1      | FII    | Federated Investors Inc.
183        | 1          | 1      | FDX    | FedEx Corporation
184        | 1          | 1      | FIS    | Fidelity National Information Services
185        | 2          | 1      | FITB   | Fifth Third Bancorp
186        | 1          | 1      | FH     | First Horizon National
187        | 1          | 1      | FSLR   | First Solar Inc
188        | 1          | 1      | FE     | FirstEnergy Corp
189        | 2          | 1      | FISV   | Fiserv Inc
190        | 1          | 1      | FLIR   | FLIR Systems
191        | 1          | 1      | FLS    | Flowserve Corporation
192        | 1          | 1      | FLR    | Fluor Corp.
193        | 1          | 1      | FMC    | FMC Corporation
194        | 1          | 1      | FTI    | FMC Technologies Inc.
195        | 1          | 1      | F      | Ford Motor
196        | 1          | 1      | FRX    | Forest Laboratories
197        | 1          | 1      | FOSL   | Fossil | Inc.
198        | 1          | 1      | BE     | Franklin Resources
199        | 1          | 1      | FCX    | Freeport-McMoran Cp & Gld
200        | 1          | 1      | FTR    | Frontier Communications
201        | 1          | 1      | GME    | GameStop Corp.
202        | 1          | 1      | GCI    | Gannett Co.
203        | 1          | 1      | GPS    | Gap (The)
204        | 1          | 1      | GD     | General Dynamics
205        | 1          | 1      | GE     | General Electric
206        | 1          | 1      | GIS    | General Mills
207        | 1          | 1      | GPC    | Genuine Parts
208        | 1          | 1      | GNW    | Genworth Financial Inc.
209        | 2          | 1      | GILD   | Gilead Sciences
210        | 1          | 1      | GS     | Goldman Sachs Group
211        | 1          | 1      | GT     | Goodyear Tire & Rubber
212        | 2          | 1      | GOOG   | Google Inc.
213        | 1          | 1      | GWW    | Grainger (W.W.) Inc.
214        | 1          | 1      | HAL    | Halliburton Co.
215        | 1          | 1      | HOG    | Harley-Davidson
216        | 1          | 1      | HAR    | Harman Int'l Industries
217        | 1          | 1      | HRS    | Harris Corporation
218        | 1          | 1      | HIG    | Hartford Financial Svc.Gp.
219        | 1          | 1      | HAS    | Hasbro Inc.
220        | 1          | 1      | HCP    | HCP Inc.
221        | 1          | 1      | HC     | Health Care REIT
222        | 1          | 1      | HNZ    | Heinz (H.J.)
223        | 1          | 1      | HP     | Helmerich & Payne
224        | 1          | 1      | HES    | Hess Corporation
225        | 1          | 1      | HPQ    | Hewlett-Packard
226        | 1          | 1      | HD     | Home Depot
227        | 1          | 1      | HO     | Honeywell Int'l Inc.
228        | 1          | 1      | HRL    | Hormel Foods Corp.
229        | 1          | 1      | HSP    | Hospira Inc.
230        | 1          | 1      | HST    | Host Hotels & Resorts
231        | 2          | 1      | HCBK   | Hudson City Bancorp
232        | 1          | 1      | HUM    | Humana Inc.
233        | 2          | 1      | HBA    | Huntington Bancshares
234        | 1          | 1      | ITW    | Illinois Tool Works
235        | 1          | 1      | IR     | Ingersoll-Rand PLC
236        | 1          | 1      | TEG    | Integrys Energy Group Inc.
237        | 2          | 1      | INTC   | Intel Corp.
238        | 1          | 1      | ICE    | IntercontinentalExchange Inc.
239        | 1          | 1      | IBM    | International Bus. Machines
240        | 1          | 1      | IFF    | International Flav/Frag
241        | 1          | 1      | IGT    | International Game Technology
242        | 1          | 1      | IP     | International Paper
243        | 1          | 1      | IPG    | Interpublic Group
244        | 2          | 1      | INTU   | Intuit Inc.
245        | 2          | 1      | ISRG   | Intuitive Surgical Inc.
246        | 1          | 1      | IVZ    | Invesco Ltd.
247        | 1          | 1      | IRM    | Iron Mountain Incorporated
248        | 1          | 1      | JBL    | Jabil Circuit
249        | 1          | 1      | JEC    | Jacobs Engineering Group
250        | 2          | 1      | JDSU   | JDS Uniphase Corp.
251        | 1          | 1      | JNJ    | Johnson & Johnson
252        | 1          | 1      | JCI    | Johnson Controls
253        | 2          | 1      | JOY    | Joy Global Inc.
254        | 1          | 1      | JPM    | JPMorgan Chase & Co.
255        | 2          | 1      | JNPR   | Juniper Networks
256        | 1          | 1      | K      | Kellogg Co.
257        | 1          | 1      | KEY    | KeyCorp
258        | 1          | 1      | KMB    | Kimberly-Clark
259        | 1          | 1      | KIM    | Kimco Realty
260        | 1          | 1      | KMI    | Kinder Morgan
261        | 2          | 1      | KLAC   | KLA-Tencor Corp.
262        | 1          | 1      | KSS    | Kohl's Corp.
263        | 1          | 1      | KRFTV  | Kraft Foods Group Inc.
264        | 1          | 1      | KFT    | Kraft Foods Inc-A
265        | 1          | 1      | KR     | Kroger Co.
266        | 1          | 1      | LLL    | L-3 Communications Holdings
267        | 1          | 1      | LH     | Laboratory Corp. of America Holding
268        | 2          | 1      | LRCX   | Lam Research
269        | 1          | 1      | LM     | Legg Mason
270        | 1          | 1      | LEG    | Leggett & Platt
271        | 1          | 1      | LE     | Lennar Corp.
272        | 1          | 1      | LUK    | Leucadia National Corp.
273        | 1          | 1      | LXK    | Lexmark Int'l Inc
274        | 2          | 1      | LIFE   | Life Technologies
275        | 1          | 1      | LLY    | Lilly (Eli) & Co.
276        | 1          | 1      | LTD    | Limited Brands Inc.
277        | 1          | 1      | LNC    | Lincoln National
278        | 2          | 1      | LLTC   | Linear Technology Corp.
279        | 1          | 1      | LMT    | Lockheed Martin Corp.
280        | 1          | 1      | L      | Loews Corp.
281        | 1          | 1      | LO     | Lorillard Inc.
282        | 1          | 1      | LOW    | Lowe's Cos.
283        | 1          | 1      | LSI    | LSI Corporation
284        | 1          | 1      | LYB    | LyondellBasell
285        | 1          | 1      | MTB    | M&T Bank Corp.
286        | 1          | 1      | M      | Macy's Inc.
287        | 1          | 1      | MRO    | Marathon Oil Corp.
288        | 1          | 1      | MPC    | Marathon Petroleum
